CO_UNIDADE,CO_CNES,NU_CNPJ_MANTENEDORA,TP_PFPJ,NIVEL_DEP,NO_RAZAO_SOCIAL,NO_FANTASIA,NO_LOGRADOURO,NU_ENDERECO,NO_COMPLEMENTO,NO_BAIRRO,CO_CEP,NU_CPF,NU_CNPJ,CO_ATIVIDADE,CO_CLIENTELA,TP_UNIDADE,CO_ESTADO_GESTOR,CO_MUNICIPIO_GESTOR,TP_ESTAB_SEMPRE_ABERTO,CO_TIPO_UNIDADE,NO_FANTASIA_ABREV,TP_GESTAO,competencia,LATITUDE,LONGITUDE,ano,mes
3550300207918,207918,"",3,1,DROGARIA AKYALI LTDA,DROGA AKYALI,RUA FERREIRA DE ARAUJO,704,A,PINHEIROS,5428002,"",52995842000124,4,1,43,35,355030,N,"","",M,2021-12-01,-23.5639487,-46.6981967,2021,12
3550300147362,147362,"",3,1,RAIA DROGASIL S A,DROGA RAIA 178 SP PARQUE SAO DOMINGOS A,AVENIDA DO ANASTACIO,655,"",PARQUE SAO DOMINGOS,5119000,"",61585865070796,4,3,43,35,355030,S,"","",M,2021-12-01,-23.5025236,-46.7336268,2021,12
3550300147362,147362,"",3,1,RAIA DROGASIL S A,DROGA RAIA 178 SP PARQUE SAO DOMINGOS A,AVENIDA DO ANASTACIO,655,"",PARQUE SAO DOMINGOS,5119000,"",61585865070796,4,3,43,35,355030,S,"","",M,2021-12-01,-23.5025236,-46.7336268,2021,12
3550300147362,147362,"",3,1,RAIA DROGASIL S A,DROGA RAIA 178 SP PARQUE SAO DOMINGOS A,AVENIDA DO ANASTACIO,655,"",PARQUE SAO DOMINGOS,5119000,"",61585865070796,4,3,43,35,355030,S,"","",M,2021-12-01,-23.5025236,-46.7336268,2021,12
3550300217352,217352,"",3,1,RAIA DROGASIL S A,DROGASIL 528 SP ALTO IPIRANGA 2,GENTIL DE MOURA,607,"",IPIRANGA,4278080,"",61585865107460,4,3,43,35,355030,N,"","",M,2021-12-01,-23.6019216,-46.6089901,2021,12
3550300217352,217352,"",3,1,RAIA DROGASIL S A,DROGASIL 528 SP ALTO IPIRANGA 2,GENTIL DE MOURA,607,"",IPIRANGA,4278080,"",61585865107460,4,3,43,35,355030,N,"","",M,2021-12-01,-23.6019216,-46.6089901,2021,12
3550300161950,161950,"",3,1,DROGARIA SAO PAULO S A,DROGARIA SAO PAULO 2026 ITAMBE,RUA ALAGOAS,12,PARTE 1,HIGIENOPOLIS,1242000,"",61412110095784,4,3,43,35,355030,N,"","",M,2021-12-01,-23.5478792,-46.6545999,2021,12
3550300147524,147524,"",3,1,RAIA DROGASIL S A,DROGA RAIA 25 SP ALTO PINHEIROS A,PANAMERICANA,57,"",ALTO DE PINHEIROS,5461000,"",61585865060642,4,3,43,35,355030,S,"","",M,2021-12-01,-23.554877,-46.7091119,2021,12
3550300147524,147524,"",3,1,RAIA DROGASIL S A,DROGA RAIA 25 SP ALTO PINHEIROS A,PANAMERICANA,57,"",ALTO DE PINHEIROS,5461000,"",61585865060642,4,3,43,35,355030,S,"","",M,2021-12-01,-23.6254192,-46.6401117,2021,12
3550300788708,788708,"",3,1,RAIA DROGASIL S A,DROGA RAIA SP CH ST ANTONIO C,RUA SAO SEBASTIAO,866,868 880,SANTO AMARO,4708001,"",61585865159851,4,3,43,35,355030,N,"","",M,2021-12-01,-23.6292196,-46.695195,2021,12
3550300876275,876275,"",3,1,DROGARIA SAO PAULO S A,DROGARIA SAO PAULO,AV PAES DE BARROS,2200,"",MOOCA,3114001,"",61412110100613,4,3,43,35,355030,N,"","",M,2021-12-01,-23.5698916,-46.5879847,2021,12
3550300908460,908460,"",3,1,RAIA DROGASIL S A,DROGASIL CAMPO LIMPO 4,ESTRADA DO CAMPO LIMPO,5900,"",PIRAJUSSARA,5787000,"",61585865185348,4,3,43,35,355030,N,"","",M,2021-12-01,-23.6171873,-46.7573142,2021,12
3550300868914,868914,"",3,1,RAIA DROGASIL S A,RAIA SP PIQUERI A,AVENIDA GENERAL EDGAR FACO,648,"",VILA ARCADIA,2924200,"",61585865055304,4,3,43,35,355030,S,"","",M,2021-12-01,-23.5014273,-46.7059867,2021,12
3550300788619,788619,"",3,1,RAIA DROGASIL S A,RAIA DROGASIL,RUA AURELIA,380,390,LAPA,5046000,"",61585865031979,4,3,43,35,355030,N,"","",M,2021-12-01,-23.5251555,-46.6981426,2021,12
3550300819239,819239,"",3,1,RAIA DROGASIL SA,DROGA RAIA CERQUEIRA CESAR B,RUA PADRE JOAO MANOEL,241,"",CERQUEIRA CESAR,1411001,"",61585865067817,4,1,43,35,355030,N,"","",M,2021-12-01,-23.5608033,-46.6607942,2021,12
3550300541230,541230,"",3,1,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIAS PAGUE MENOS 214,RUA CARDOSO DE ALMEIDA,326,"",PERDIZES,5013000,"",6626253021400,4,3,43,35,355030,N,"","",M,2021-12-01,-23.5342267,-46.6657624,2021,12
3550300541230,541230,"",3,1,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIAS PAGUE MENOS 214,RUA CARDOSO DE ALMEIDA,326,"",PERDIZES,5013000,"",6626253021400,4,3,43,35,355030,N,"","",M,2021-12-01,-23.5342563,-46.6657045,2021,12
3550300541435,541435,"",3,1,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIAS PAGUE MENOS 502,ESTRADA DO CAMPO LIMPO,4460,"",PIRAJUSSARA,5787000,"",6626253050256,4,3,43,35,355030,N,"","",M,2021-12-01,-23.6254766,-46.76491009999999,2021,12
3550300541427,541427,"",3,1,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIAS PAGUE MENOS 475,AV BRIGADEIRO FARIA LIMA,1116,"",JD PAULISTANO,1451001,"",6626253047549,4,3,43,35,355030,N,"","",M,2021-12-01,-23.5680991,-46.6930894,2021,12
3550300541419,541419,"",3,1,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIAS PAGUE MENOS 437,AVENIDA LINS DE VASCONCELOS,1707,"",CAMBUCI,1537001,"",6626253043713,4,3,43,35,355030,N,"","",M,2021-12-01,-23.5785341,-46.62378229999999,2021,12
3550300541354,541354,"",3,1,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIAS PAGUE MENOS 275,RUA OSCAR FREIRE,299,"",CERQUEIRA CESAR,1426001,"",6626253027513,4,3,43,35,355030,S,"","",M,2021-12-01,-23.5668636,-46.664882,2021,12
3550300788651,788651,"",3,1,RAIA DROGASIL S A,DROGASIL SP VL LEOPOLDINA 2,RUA GUAIPA,36,42 44,VILA LEOPOLDINA,5089000,"",61585865052461,4,3,43,35,355030,N,"","",M,2021-12-01,-23.5214347,-46.7225803,2021,12
3550300895067,895067,"",3,1,RAIA DROGASIL S A,DROGASIL VILA CARRAO 2,AVENIDA CONSELHEIRO CARRAO,3445,"",VILA CARRAO,3403003,"",61585865131337,4,3,43,35,355030,N,"","",M,2021-12-01,-23.5520613,-46.52908799999999,2021,12
3550300788678,788678,"",3,1,RAIA DROGASIL S A,DROGA RAIA SP VL GUMERCINDO A,RUA SANTA CRUZ,1884,1890 1894,VILA MARIANA,4122002,"",61585865099263,4,3,43,35,355030,N,"","",M,2021-12-01,-23.6023575,-46.62055729999999,2021,12
3550300868922,868922,"",3,1,RAIA DROGASIL S A,RAIA SP VL MADALENA A,RUA INACIO PEREIRA DA ROCHA,296,"",VILA MADALENA,5432010,"",61585865055053,4,3,43,35,355030,S,"","",M,2021-12-01,-23.559984,-46.6898432,2021,12
3550300690635,690635,"",3,1,DROGARIA SAO PAULO S A,DROGARIA SAO PAULO,R FRADIQUE COUTINHO,1284,"",PINHEIROS,5416001,"",61412110106573,4,1,43,35,355030,N,"","",M,2021-12-01,-23.5563228,-46.69092149999999,2021,12
3550300868671,868671,"",3,1,RAIA DROGASIL S A,DROGASIL SP N S ASSUNCAO 2,AVENIDA CORIFEU DE AZEVEDO MARQUES,3067,"",BUTANTA,5339000,"",61585865005110,4,3,43,35,355030,S,"","",M,2021-12-01,-23.5698592,-46.7413136,2021,12
3550300926604,926604,"",3,1,RAIA DROGASIL S A,DROGA RAIA SP MOEMA A,AVENIDA MOEMA,370,"",04077021,4077021,"",61585865061029,4,3,43,35,355030,S,"","",M,2021-12-01,-23.6055806,-46.6577419,2021,12
3550300917524,917524,"",3,1,RAIA DROGASIL S A,RAIA VILA GUILHERME A,AVENIDA LUIZ DUMONT VILLARES,522,"",JARDIM SAO PAULO,2085000,"",61585865064800,4,3,43,35,355030,S,"","",M,2021-12-01,-23.497609,-46.6121706,2021,12
3550300690597,690597,"",3,1,DROGARIA SAO PAULO S A,DROGARIA SAO PAULO,AV PADRE ANTONIO JOSE DOS SANTOS,1348,"",CIDADE MONCOES,4563004,"",61412110104015,4,1,43,35,355030,N,"","",M,2021-12-01,-23.6073969,-46.6898894,2021,12
3550300788643,788643,"",3,1,RAIA DROGASIL S A,RAIA SP ITAIM BIBI,AVENIDA SAO GABRIEL,281,"",JARDIM PAULISTA,1435001,"",61585865106308,4,3,43,35,355030,S,"","",M,2021-12-01,-23.5808297,-46.6709113,2021,12
3550300781827,781827,"",3,1,RAIA DROGASIL S A,DROGA RAIA SP PINHEIROS B,RUA CONEGO EUGENIO LEITE,720,722 730 E 732,PINHEIROS,5414000,"",61585865067221,4,3,43,35,355030,N,"","",M,2021-12-01,-23.562578,-46.6813615,2021,12
3550300926590,926590,"",3,1,RAIA DROGASIL S A,DROGA RAIA GRAJAU A,AVENIDA DONA BELMIRA MARIN,1036,1040,CAPELA DO SOCORRO,4846000,"",61585865062696,4,3,43,35,355030,S,"","",M,2021-12-01,-23.739482,-46.69180009999999,2021,12
3550300926612,926612,"",3,1,RAIA DROGASIL S A,DROGASIL BRASILANDIA 1,AVENIDA DEPUTADO CANTIDIO SAMPAIO,936,"",VILA SOUZA,2860150,"",61585865171983,4,3,43,35,355030,N,"","",M,2021-12-01,-23.4692793,-46.6768265,2021,12
3550300718998,718998,"",3,1,DROGARIA SAUDE E BELEZA POPULAR LTDA,DROGARIA SAUDE E BELEZA POPULAR,CARLOS LACERDA,2635,"",PIRAJUSSARA,5789001,"",37557111000103,4,3,43,35,355030,N,"","",M,2021-12-01,-23.6539397,-46.7768854,2021,12
3550300718998,718998,"",3,1,DROGARIA SAUDE E BELEZA POPULAR LTDA,DROGARIA SAUDE E BELEZA POPULAR,CARLOS LACERDA,2635,"",PIRAJUSSARA,5789001,"",37557111000103,4,3,43,35,355030,N,"","",M,2021-12-01,-23.6539397,-46.7768854,2021,12
3550300795585,795585,"",3,1,RAIA DROGASIL S A,RAIA SP BSQ DA SAUDE A,AVENIDA BOSQUE DA SAUDE,472,"",SAUDE,4142081,"",61585865069003,4,3,43,35,355030,N,"","",M,2021-12-01,-23.6119807,-46.63359860000001,2021,12
3550300901512,901512,"",3,1,DROGARIA SAO PAULO S A,DROGARIA SAO PAULO MOOCA,RUA VISCONDE DE INHOMERIM,1055,"",MOOCA,3120001,"",61412110095431,4,3,43,35,355030,N,"","",M,2021-12-01,-23.5610165,-46.5943099,2021,12
3550309602488,9602488,"",3,1,DIMED S A DISTRIBUIDORA DE MEDICAMENTOS,PANVEL FARMACIAS FILIAL 800,GIOVANNI GRONCHI,5930,LOJA 5,VILA ANDRADE,5724002,"",92665611039979,4,3,43,35,355030,N,"","",M,2021-12-01,-23.6277019,-46.7359191,2021,12
3550309602488,9602488,"",3,1,DIMED S A DISTRIBUIDORA DE MEDICAMENTOS,PANVEL FARMACIAS FILIAL 800,GIOVANNI GRONCHI,5930,LOJA 5,VILA ANDRADE,5724002,"",92665611039979,4,3,43,35,355030,N,"","",M,2021-12-01,-23.6277019,-46.7359191,2021,12
3550300541478,541478,"",3,1,EMPREENDIMENTOS PAGUE MENOS S A,FARMACIAS PAGUE MENOS 685,RUA CLELIA,870,"",AGUA BRANCA,5042000,"",6626253068546,4,3,43,35,355030,N,"","",M,2021-12-01,-23.524838,-46.690959,2021,12
3550309610308,9610308,"",3,1,RAIA DROGASIL S A,DROGASIL 3002 PAULISTA 5,PAULISTA,2408,LOJA 1,BELA VISTA,1310300,"",61585865220003,4,1,43,35,355030,S,"","",M,2021-12-01,-23.5562269,-46.6618948,2021,12
3550309610308,9610308,"",3,1,RAIA DROGASIL S A,DROGASIL 3002 PAULISTA 5,PAULISTA,2408,LOJA 1,BELA VISTA,1310300,"",61585865220003,4,1,43,35,355030,S,"","",M,2021-12-01,-23.5562269,-46.6618948,2021,12
3550300308919,308919,"",3,1,RAIA DROGASIL S A,DROGASIL FSP FREGUESIA DO O 1,SANTA MARINA,2569,"",FREGUESIA DO O,2732040,"",61585865005544,4,3,43,35,355030,S,"","",M,2021-12-01,-23.5024444,-46.6947766,2021,12
3550300308919,308919,"",3,1,RAIA DROGASIL S A,DROGASIL FSP FREGUESIA DO O 1,SANTA MARINA,2569,"",FREGUESIA DO O,2732040,"",61585865005544,4,3,43,35,355030,S,"","",M,2021-12-01,-23.5024444,-46.6947766,2021,12
3550309610294,9610294,"",3,1,RAIA DROGASIL S A,DROGASIL 3003 PAULISTA 6,PAULISTA,1257,"",BELA VISTA,1311200,"",61585865216839,4,1,43,35,355030,S,"","",M,2021-12-01,-23.5638905,-46.654184,2021,12
3550309610294,9610294,"",3,1,RAIA DROGASIL S A,DROGASIL 3003 PAULISTA 6,PAULISTA,1257,"",BELA VISTA,1311200,"",61585865216839,4,1,43,35,355030,S,"","",M,2021-12-01,-23.5638905,-46.654184,2021,12
3550309873155,9873155,"",3,1,RAIA DROGASIL S A,DROGASIL 502 SUMAREZINHO,R HEITOR PENTEADO,977,"",SUMAREZINHO,5437000,"",61585865048782,4,1,43,35,355030,N,"","",M,2021-12-01,-23.5478848,-46.6881649,2021,12
3550309710809,9710809,"",3,1,IMIFARMA PRODUTOS FARMACEUTICOS E COSMETICOS S A,EXTRAFARMA AV BRIGADEIRO FARIA LIMA,AVENIDA BRIGADEIRO FARIA LIMA,2561,"",JARDIM PAULISTA,1452000,"",4899316044670,4,1,43,35,355030,N,"","",M,2021-12-01,-23.578927,-46.6854988,2021,12
3550309710728,9710728,"",3,1,DROGARIA SAO PAULO S A,DROGARIA SAO PAULO 2020 VEREADOR JOSE DINIZ,AVENIDA VEREADOR JOSE DINIZ,3697,"",AVENIDA VEREADOR JOS,4603003,"",61412110092505,4,3,43,35,355030,N,"","",M,2021-12-01,-23.615897,-46.673983,2021,12
